𠰳,bǐng
髱,bào
𨻼,bī
𦭼,"piǎo,bì"
𢁻,bù
𨍭,"bó,pò"
𠨵,bàng
蜌,bì
㙛,bǔ
榑,"fú,fù,bó"
𡎾,bèng
絣,"bēng,bīng,pēng"
㱸,"bì,bié"
𩰍,biàn
𠨘,bì
𪔑,bèng
蚆,bā
䒔,bài
稖,bàng
𩾡,bào
𠽩,bì
䰊,bó
䪨,"báo,qú"
朌,"fén,bān"
𥆯,bì
㘵,bù
䶈,bó
螌,bān
沘,bǐ
䠙,"bèi,páng,páo"
仒,"bīng,eo"
豝,bā
𫄰,bāng
䪁,bǔ
𪂃,bēi
𠴸,bò
𫁤,bān
㩯,"bǎn,pán,pó"
轐,bú
𡡐,bǔ
𦰬,bó
𣦪,bǐng
𤺓,bié
㻄,bǎo
𣩀,biān
䬛,"bì,yù"
螕,"bī,pí"
𤒔,bó
幚,bāng
䉸,biàn
梹,"bīn,bīng"
屛,"pǐng,bǐng"
𤡭,"bēng,péng"
㡷,běn
𧳀,"biào,nǎo"
𪱠,biǎn
珌,bì
㑟,"běng,bó,pěng"
奙,běn
𢜘,bèn
膔,"lù,biāo"
𡊅,"fèn,biàn"
𡯘,bǎn
𤵘,bì
䔒,bèi
襮,bó
𦡻,bìng
䨆,"bí,bì,xù"
𣢏,bīn
𧘟,"pō,bō"
𪐆,bié
𧴕,biào
𠧫,bǎn
䀣,"bì,mà"
㘩,bì
䭋,bǎo
𫟪,biān
𦙹,bàn
𥳆,bì
𩶉,bū
葧,bó
𣡖,bài
跘,"pán,bàn"
𢅩,bì
𦤚,bó
餠,bǐng
𥭓,báo
𩍗,bāng
𡽶,bì
䫊,"bó,péi"
䋳,"bèi,mì"
𥞩,bēng
㢼,biè
㚰,bǐ
粊,bì
鮊,"bó,bà"
闁,bāo
粃,bǐ
𫝼,bō
𢊜,bìng
𤾵,bié
䟦,"bá,bó,yuán"
𠳐,bāng
靌,bǎo
𠭹,biàn
𣪂,bān
㪏,bǐ
䯗,bì
捬,"fǔ,fù,bǔ"
噃,"fān,bo"
𤿑,bǒ
䭰,"běng,bèng"
𥐙,"pā,bā"
𤉤,biē
拝,bài
𠫛,bǎi
𤻖,bì
䎵,bì
𥏓,bēi
𦼭,bó
䃻,"bà,pái"
𢄎,bàng
鞕,"biān,yìng"
𢴩,bì
𨋥,bì
𨸼,bì
𧉩,bù
袹,"bó,mò"
襏,bó
𨹗,bīng
𥖗,bèng
謤,biāo
䂜,"bàng,péi"
𡚤,bì
閈,"hàn,bì"
𤶋,bó
䓑,"bǐng,píng"
𦰥,bāng
𩭼,bǎo
㴜,biàn
𢖬,bì
妼,bì
𢫆,bō
𨳲,"biàn,bì"
鮅,bì
𩬸,bō
𤙅,bài
惼,biǎn
怭,bì
俻,bèi
馞,bó
𢆩,bìng
𩔮,bān
㯇,bì
㿫,bì
𧇚,bó
䏟,"biè,bié"
䩗,bà
𧥍,biāo
硥,"mǎng,bàng"
𢴂,biǎn
䠋,"bǐ,bì,mà"
䌟,bì
鑌,bīn
髉,"bó,jué"
𫂀,bō
𨓁,běng
琣,"běng,pěi"
䴐,bǎo
𢶶,bàng
𪖯,biǎn
𦱔,bì
愽,bó
𢐒,bēng
藵,bǎo
𦇭,biān
鄨,bì
淲,"biāo,hǔ"
鞸,"bì,bǐng"
瑸,"bīn,pián"
仈,bā
𩏞,bài
𦀘,"pī,bī"
㶿,bó
𩣡,bó
扷,"bā,ào"
虌,biē
𤝧,bào
辺,"dào,biān"
𤅹,bì
廦,bì
𩅇,bù
𩗓,bó
𩠻,"bié,hān"
𠅬,bāo
揙,biǎn
